"t" "mg"
"1" 1.10271990740785 3.29
"2" 1.36912037037018 3.43
"3" 1.54180555555558 3.24
"4" 1.97300925925902 3.02
"5" 2.65315972222197 3.03
"6" 2.65324074074033 3.02
"7" 5.0180787037034 3.11
"8" 5.54180555555558 3.25
"9" 7.80849537037011 3
"10" 11.5157291666665 3.09
"11" 11.9911574074076 3.13
"12" 12.2818055555554 3.09
"13" 12.7372800925923 3.31
"14" 14.9941319444442 3.31
"15" 15.0793981481484 3.05
"16" 15.4500694444441 3.11
"17" 15.5043055555552 3.43
"18" 18.0593055555555 3.1
"19" 19.6936226851849 3.67
"20" 19.838773148148 3.21
"21" 23.1656249999996 3.11
"22" 25.5883796296293 3.6
"23" 26.5309606481478 3.78
"24" 26.9874305555559 3.41
"25" 27.758275462963 3.38
"26" 31.610798611111 3.09
"27" 33.2416203703706 3.14
"28" 35.2830902777778 3.44
"29" 36.1942708333336 3.25
"30" 37.4815972222223 3.28
"31" 37.6615277777773 3.22
"32" 40.6064120370374 3.33
"33" 41.6331481481484 3.01
"34" 42.9146643518516 3.04
"35" 44.4749768518523 3.06
"36" 44.6122685185182 3.53
"37" 45.0129282407406 3.06
"38" 47.3909953703705 3.69
"39" 49.7383101851856 4.4
"40" 54.0655439814818 3.67
"41" 57.7626736111115 3.86
"42" 58.5895717592593 3.35
"43" 59.4218865740741 4.23
"44" 61.169733796296 3.21
"45" 62.2922685185185 3.21
"46" 62.4016550925926 3.05
"47" 63.8045023148152 3.39
"48" 65.9951388888885 3
"49" 66.4809722222226 3
"50" 66.9462037037038 3
"51" 71.5003703703705 3.2
"52" 71.7623958333334 3.51
"53" 74.8651851851855 3.32
"54" 74.9234953703708 3.01
"55" 76.1620486111115 3.03
"56" 77.0151041666668 3
"57" 77.2743634259259 3.11
"58" 79.7799999999997 3.49
"59" 80.283611111111 3.05
"60" 82.6620486111115 3.79
"61" 82.6722106481484 3.78
"62" 82.6836226851856 3.85
"63" 82.7228356481482 3.26
"64" 84.1620138888893 3.46
"65" 87.3786111111112 3.07
"66" 88.6754629629631 3.3
"67" 91.1367129629625 3.6
"68" 91.2106249999997 3.13
"69" 91.636828703704 3.93
"70" 95.6324999999997 3.12
"71" 96.714467592593 3.05
"72" 98.3773263888888 3.24
"73" 98.3778703703701 3.23
"74" 98.460023148148 3.05
"75" 98.5973726851853 3.51
"76" 99.1601504629625 3.4
"77" 99.1601736111115 3.52
"78" 101.091793981482 3.79
"79" 101.116076388889 3.67
"80" 101.677766203704 3.34
"81" 102.415520833333 3.27
"82" 102.986585648148 3.25
"83" 103.029467592592 3.04
"84" 103.478182870371 4.15
"85" 103.66494212963 3.13
"86" 105.03900462963 3.02
"87" 108.888217592593 3.12
"88" 111.649849537037 3.16
"89" 111.832222222222 3.8
"90" 112.104606481482 3.02
"91" 112.266145833333 3.62
"92" 112.293310185185 3.52
"93" 112.578796296296 3.82
"94" 112.582523148149 3.14
"95" 113.330150462963 3.12
"96" 113.330428240741 3.5
"97" 113.330567129629 3.54
"98" 113.831030092592 3.02
"99" 113.938333333334 3.49
"100" 114.096122685185 3.26
"101" 114.096331018519 3.28
"102" 114.536701388889 3.86
"103" 114.991574074074 3.46
"104" 115.639386574074 3.49
"105" 115.897407407408 3.45
"106" 116.381446759259 3.22
"107" 117.003900462963 3.14
"108" 117.280752314815 3.6
"109" 119.804884259259 3.42
"110" 122.480740740741 3.76
"111" 123.699826388889 3.27
"112" 126.950555555555 3.18
"113" 128.105925925925 4.26
"114" 128.168217592593 3.25
"115" 128.535023148148 3.53
"116" 129.098067129629 4.12
"117" 129.219953703704 3.05
"118" 130.208229166667 3.01
"119" 130.805868055556 3.02
"120" 135.254502314815 3.75
"121" 136.008043981482 3.55
"122" 136.400972222223 3.04
"123" 136.457175925926 3.68
"124" 137.020995370371 3.54
"125" 138.183043981481 3.42
"126" 138.824780092593 3.58
"127" 140.951168981482 3.11
"128" 145.909722222223 3.63
"129" 147.731412037037 3.09
"130" 150.566851851851 3.05
"131" 151.510347222223 3.19
"132" 152.271388888889 4.05
"133" 155.999224537037 3.81
"134" 156.359363425926 3.05
"135" 159.208483796297 3
"136" 159.404884259259 3.17
"137" 162.125856481482 3.16
"138" 162.138275462963 3.05
"139" 163.223032407407 3.94
"140" 163.311018518519 4.04
"141" 164.355856481481 3.1
"142" 164.39849537037 3.11
"143" 164.916851851852 3.08
"144" 169.563530092592 3.06
"145" 172.102847222222 4.05
"146" 173.221388888889 3.07
"147" 173.632627314815 3.66
"148" 176.206585648149 3.51
"149" 180.538611111111 3.17
"150" 181.565439814814 3.47
"151" 183.258368055555 3.06
"152" 184.095069444445 3.48
"153" 184.172314814815 3.15
"154" 185.833912037037 3.36
"155" 187.791805555556 3.9
"156" 188.005277777777 3.47
"157" 188.218217592593 3.66
"158" 189.052071759259 3.3
"159" 189.778668981481 3.01
"160" 190.644583333334 3.1
"161" 190.952326388889 3.12
"162" 191.089918981482 3.3
"163" 191.097395833333 3.3
"164" 191.105891203703 3.02
"165" 192.438506944444 3.51
"166" 193.803958333333 3.15
"167" 199.019039351851 3.11
"168" 199.384652777778 3.19
"169" 200.519768518519 3.13
"170" 207.071793981481 3.31
"171" 209.112581018519 3.5
"172" 209.95875 3.09
"173" 213.462581018519 3.19
"174" 214.455300925926 3.18
"175" 217.693645833333 3.16
"176" 218.635138888889 4.21
"177" 219.637199074074 3.11
"178" 226.079479166667 3
"179" 226.937152777778 3.06
"180" 228.354768518519 3.66
"181" 228.767164351852 3.49
"182" 235.691076388889 3.32
"183" 238.092106481481 3.34
"184" 239.620300925926 3.26
"185" 243.139317129629 3.54
"186" 243.153726851852 3.73
"187" 248.538946759259 3.3
"188" 249.711493055555 3.12
"189" 250.411331018518 3.55
"190" 250.576817129629 3.6
"191" 250.752233796296 4.31
"192" 250.911006944444 3.68
"193" 251.039930555556 4.07
